V2	gene
YP_009121768.1 	HA
YP_009118482.1 	HA
YP_529486.1 	HA
YP_308873.1 	HA
YP_308875.1 	HA
YP_163735.1 	HA
YP_009121767.1 	HA
YP_009118483.1 	HA
YP_529487.1 	HA
YP_308874.1 	HA
YP_308876.1 	HA
YP_163736.1 	HA
NP_040980.1 	HA
YP_009118626.1 	HA
YP_009118475.1 	HA
YP_308839.1 	HA
YP_308850.1 	HA
YP_308669.1 	HA
NP_859037.1 	HA
YP_009118622.1 	MP
YP_009118623.1 	MP
YP_009118477.1 	MP
YP_009118478.1 	MP
YP_308840.1 	MP
YP_308841.1 	MP
YP_308670.1 	MP
YP_308671.1 	MP
NP_859035.1 	MP
NP_859036.1 	MP
NP_040978.1 	MP
NP_040979.2 	MP
YP_308853.1 	MP
YP_308854.1 	MP
YP_009118627.1 	NA_
YP_009118481.1 	NA_
YP_308668.1 	NA_
YP_308842.1 	NA_
YP_308872.1 	NA_
NP_859038.1 	NA_
NP_040981.1 	NA_
YP_009118625.1 	NS
YP_009118480.1 	NS
YP_308844.1 	NS
YP_308845.1 	NS
YP_308869.1 	NS
YP_308870.1 	NS
YP_308672.1 	NS
YP_308673.1 	NS
NP_859034.1 	NS
NP_040983.1 	NS
NP_040984.1 	NS
YP_009118624.1 	NS
YP_009118479.1 	NS
YP_581750.1 	NS
YP_009118629.1 	NP
YP_009118476.1 	NP
YP_308843.1 	NP
YP_308667.1 	NP
YP_581749.1 	NP
YP_308871.1 	NP
NP_040982.1 	NP
YP_009121769.1 	PA
YP_009118474.1 	PA
YP_006575868.1 	PA
YP_006495800.1 	PA
YP_006495803.1 	PA
YP_006495785.1 	PA
YP_308851.1 	PB1
YP_009118472.1 	PB1
YP_473348.1 	PB1
YP_418248.1 	PB1
YP_308848.1 	PB1
YP_308877.1 	PB1
YP_308664.1 	PB2
YP_308665.1 	PB1
YP_308666.1 	PA
YP_009118630.1 	PA
YP_009118473.1 	PA
YP_308846.1 	PA
YP_308852.1 	PA
NP_859041.1 	PA
NP_040986.1 	PA
YP_009118628.1 	PB1
YP_009118471.1 	PB1
YP_308847.1 	PB1
NP_859040.1 	PB1
NP_040985.1 	PB1
YP_009118631.1 	PB2
YP_009118470.1 	PB2
YP_308849.1 	PB2
YP_308855.1 	PB2
NP_859039.1 	PB2
NP_040987.1 	PB2
